ago1,ago2,set1,set2,ott1,ott2
5012,5334,4820,5149,5425,5797
4948,5107,5062,5159,4433,4642
5077,5259,4182,4532,5512,5856
4960,5037,3177,3235,5641,5926
5010,5304,5068,5292,5751,5920
4170,4371,5004,5178,5468,5804
2916,2959,5211,5287,5493,6061
4442,4545,4960,5174,4996,5327
4301,4391,5383,5534,3510,3552
4931,4975,4355,4511,5524,5730
4533,4703,3090,3290,5472,5751
4438,4494,5215,5420,5776,6057
3707,3947,5203,5442,5560,5785
2794,2812,5602,5739,5864,6166
3148,3184,5445,5576,4941,5181
4086,4240,5562,5775,3892,4065
4355,4463,4752,5172,5459,5689
4272,4437,3247,3499,5507,5699
4389,4614,5855,6088,5703,5963
3546,3851,5630,5749,5487,5836
2827,2917,5614,5921,5738,6166
4505,4594,5484,5713,5002,5277
4598,4653,5599,5880,3542,3663
4646,4762,5010,5290,5533,5787
4406,4500,3421,3639,,
4586,4726,5454,5755,,
3801,4103,535,520,,
2845,2869,7626,7321,,
4919,4728,5556,5690,,
4663,4885,5593,6071,,
5167,5405,,,,
